"Main";"Middle";"Sub";"Address";"Central";"Unfiltered";"Description";"DatapointType";"Security"
"Zentralfunktion"; ; ;"0";"";"";"";"";"Auto"
 ;"schalten"; ;"0/1/-";"";"";"";"";"Auto"
 ; ;"Gesamt schalten";"0/1/0";"";"";"";"";"Auto"
 ; ;"EG schalten";"0/1/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer schalten";"0/1/10";"";"";"";"";"Auto"
 ; ;"EG Küche schalten";"0/1/11";"";"";"";"";"Auto"
 ; ;"OG schalten";"0/1/20";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer schalten";"0/1/21";"";"";"";"";"Auto"
 ; ;"OG Bad schalten";"0/1/22";"";"";"";"";"Auto"
"Licht"; ; ;"1";"";"";"";"";"Auto"
 ;"schalten"; ;"1/1/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links schalten";"1/1/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte mitte schalten";"1/1/2";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte rechts schalten";"1/1/3";"";"";"";"";"Auto"
 ; ;"EG Küche Arbeitszeile schalten";"1/1/4";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte schalten";"1/1/5";"";"";"";"";"Auto"
 ; ;"EG Küche Wandleuchte schalten";"1/1/6";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links schalten";"1/1/7";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Steckose mitte schalten";"1/1/8";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte schalten";"1/1/9";"";"";"";"";"Auto"
 ; ;"OG Bad Wandleuchte schalten";"1/1/10";"";"";"";"";"Auto"
 ; ;"OG Bad Lüfter schalten";"1/1/11";"";"";"";"";"Auto"
 ; ;"OG Bad Spiegelschrank schalten";"1/1/12";"";"";"";"";"Auto"
 ;"sperren"; ;"1/2/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links sperren";"1/2/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte mitte sperren";"1/2/2";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte rechts sperren";"1/2/3";"";"";"";"";"Auto"
 ; ;"EG Küche Arbeitszeile sperren";"1/2/4";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte sperren";"1/2/5";"";"";"";"";"Auto"
 ; ;"EG Küche Wandleuchte sperren";"1/2/6";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links sperren";"1/2/7";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Steckose mitte sperren";"1/2/8";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte sperren";"1/2/9";"";"";"";"";"Auto"
 ; ;"OG Bad Wandleuchte sperren";"1/2/10";"";"";"";"";"Auto"
 ; ;"OG Bad Lüfter sperren";"1/2/11";"";"";"";"";"Auto"
 ; ;"OG Bad Spiegelschrank sperren";"1/2/12";"";"";"";"";"Auto"
 ;"status"; ;"1/3/-";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte links status";"1/3/1";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte mitte status";"1/3/2";"";"";"";"";"Auto"
 ; ;"EG Wohnzimmer Deckenleuchte rechts status";"1/3/3";"";"";"";"";"Auto"
 ; ;"EG Küche Arbeitszeile status";"1/3/4";"";"";"";"";"Auto"
 ; ;"EG Küche Deckenleuchte status";"1/3/5";"";"";"";"";"Auto"
 ; ;"EG Küche Wandleuchte status";"1/3/6";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Deckenleuchte links status";"1/3/7";"";"";"";"";"Auto"
 ; ;"OG Kinderzimmer Steckose mitte status";"1/3/8";"";"";"";"";"Auto"
 ; ;"OG Bad Deckenleuchte status";"1/3/9";"";"";"";"";"Auto"
 ; ;"OG Bad Wandleuchte status";"1/3/10";"";"";"";"";"Auto"
 ; ;"OG Bad Lüfter status";"1/3/11";"";"";"";"";"Auto"
 ; ;"OG Bad Spiegelschrank status";"1/3/12";"";"";"";"";"Auto"
